,Unnamed: 0,name,product_id,categories,image_url,url,brand,price,compare_at_price
1245,1245,Pink Long Sleeve Maxi Dress,7118775976029,'',https://farmrio.com/cdn/shop/products/312544_01.jpg?v=1693373294&width=400,https://farmrio.com/cdn/shop/products/312544_01.jpg?v=1693373294&width=400,FARM Rio,"Rs.59,400.00","Rs.59,400.00"
1247,1247,Burgundy Pineapple Inspiration V Neck Maxi Dress,7118766800989,'',https://farmrio.com/cdn/shop/files/311987_03.jpg?v=1693373461&width=400,https://farmrio.com/cdn/shop/files/311987_03.jpg?v=1693373461&width=400,FARM Rio,"Rs.53,200.00","Rs.53,200.00"
1253,1253,Mixed Floral Ruffle Mini Dress,7118770110557,'',https://farmrio.com/cdn/shop/files/311975_04.jpg?v=1694804535&width=400,https://farmrio.com/cdn/shop/files/311975_04.jpg?v=1694804535&width=400,FARM Rio,"Rs.68,400.00","Rs.68,400.00"
1257,1257,Mixed Floral Prints Long Sleeve Maxi Dress,7118766735453,'',https://farmrio.com/cdn/shop/files/312351_01.jpg?v=1693373510&width=400,https://farmrio.com/cdn/shop/files/312351_01.jpg?v=1693373510&width=400,FARM Rio,"Rs.54,200.00","Rs.54,200.00"
1259,1259,Red V Neckline Long Sleeve Midi Dress,7118770831453,'',https://farmrio.com/cdn/shop/files/312003_01.jpg?v=1693387088&width=400,https://farmrio.com/cdn/shop/files/312003_01.jpg?v=1693387088&width=400,FARM Rio,"Rs.55,100.00","Rs.55,100.00"
1265,1265,Red One Shoulder Maxi Dress,7118769553501,'',https://farmrio.com/cdn/shop/files/312540_01.jpg?v=1693386989&width=400,https://farmrio.com/cdn/shop/files/312540_01.jpg?v=1693386989&width=400,FARM Rio,"Rs.59,700.00","Rs.59,700.00"
1269,1269,Off-White Embroidered Horses Ruffle Mini Dress,7118773452893,'',https://farmrio.com/cdn/shop/files/312011_04.jpg?v=1694804955&width=400,https://farmrio.com/cdn/shop/files/312011_04.jpg?v=1694804955&width=400,FARM Rio,"Rs.76,200.00","Rs.76,200.00"
1270,1270,Bright Blue Long Sleeve Midi Dress,7118765555805,'',https://farmrio.com/cdn/shop/files/315988_01.jpg?v=1693373246&width=400,https://farmrio.com/cdn/shop/files/315988_01.jpg?v=1693373246&width=400,FARM Rio,"Rs.41,300.00","Rs.41,300.00"
1275,1275,Bright Blue Backless Ruffle Sleeve Mini Dress,7118765129821,'',https://farmrio.com/cdn/shop/files/312532_01.jpg?v=1693373139&width=400,https://farmrio.com/cdn/shop/files/312532_01.jpg?v=1693373139&width=400,FARM Rio,"Rs.36,200.00","Rs.36,200.00"
1281,1281,Bright Blue Fringes Maxi Dress,7118766145629,'',https://farmrio.com/cdn/shop/files/312541_02.jpg?v=1693373208&width=400,https://farmrio.com/cdn/shop/files/312541_02.jpg?v=1693373208&width=400,FARM Rio,"Rs.85,200.00","Rs.85,200.00"
1283,1283,Black Passion Scarf Mini Wrap Dress,7118764081245,'',https://farmrio.com/cdn/shop/files/312191_01.jpg?v=1693373063&width=400,https://farmrio.com/cdn/shop/files/312191_01.jpg?v=1693373063&width=400,FARM Rio,"Rs.59,400.00","Rs.59,400.00"
1286,1286,Black Passion Scarf Maxi Dress,7118776467549,'',https://farmrio.com/cdn/shop/files/312372_01.jpg?v=1693373303&width=400,https://farmrio.com/cdn/shop/files/312372_01.jpg?v=1693373303&width=400,FARM Rio,"Rs.73,400.00","Rs.73,400.00"
1287,1287,Black Flowers Textured Tiered Midi Dress,7118778466397,'',https://farmrio.com/cdn/shop/files/312536_01.jpg?v=1693358375&width=400,https://farmrio.com/cdn/shop/files/312536_01.jpg?v=1693358375&width=400,FARM Rio,"Rs.90,600.00","Rs.90,600.00"
1289,1289,Black Heart Neckline Knit Dress,7118775582813,'',https://farmrio.com/cdn/shop/files/312585_01.jpg?v=1693373127&width=400,https://farmrio.com/cdn/shop/files/312585_01.jpg?v=1693373127&width=400,FARM Rio,"Rs.39,600.00","Rs.39,600.00"
1294,1294,Off-White Richelieu Midi Dress,6543068561501,'DRESSES',https://farmrio.com/cdn/shop/files/283064_01.jpg?v=1699563807&width=400,https://farmrio.com/cdn/shop/files/283064_01.jpg?v=1699563807&width=400,FARM Rio,"Rs.80,300.00","Rs.80,300.00"
1299,1299,Lobster Sky Mini Dress,6782121017437,'Dresses',https://farmrio.com/cdn/shop/files/303159_01.jpg?v=1699563844&width=400,https://farmrio.com/cdn/shop/files/303159_01.jpg?v=1699563844&width=400,FARM Rio,"Rs.50,200.00","Rs.50,200.00"
1302,1302,Blue Nature Beauty Short Sleeve Maxi Dress,7118767423581,'',https://farmrio.com/cdn/shop/files/312211_01.jpg?v=1691707873&width=400,https://farmrio.com/cdn/shop/files/312211_01.jpg?v=1691707873&width=400,FARM Rio,"Rs.40,900.00","Rs.40,900.00"
1306,1306,Yellow Palms Party Short Sleeve Maxi Dress,7118764114013,'',https://farmrio.com/cdn/shop/files/312213_01.jpg?v=1693386980&width=400,https://farmrio.com/cdn/shop/files/312213_01.jpg?v=1693386980&width=400,FARM Rio,"Rs.44,800.00","Rs.44,800.00"
1307,1307,Color Blocking Sleeveless Maxi Dress,7118771224669,'',https://farmrio.com/cdn/shop/files/316418_01.jpg?v=1692395672&width=400,https://farmrio.com/cdn/shop/files/316418_01.jpg?v=1692395672&width=400,FARM Rio,"Rs.33,700.00","Rs.33,700.00"
1308,1308,Blush Garden Bloom Maxi Dress,7118767456349,'',https://farmrio.com/cdn/shop/files/312002_02.jpg?v=1694804590&width=400,https://farmrio.com/cdn/shop/files/312002_02.jpg?v=1694804590&width=400,FARM Rio,"Rs.44,500.00","Rs.44,500.00"
1310,1310,Beige Ainika Floral Ruffle Mini Dress,7118773911645,'',https://farmrio.com/cdn/shop/files/312616_01.jpg?v=1691707875&width=400,https://farmrio.com/cdn/shop/files/312616_01.jpg?v=1691707875&width=400,FARM Rio,"Rs.37,300.00","Rs.37,300.00"
1312,1312,Beige Ainika Floral V Neck Midi Dress,7118772404317,'',https://farmrio.com/cdn/shop/files/312042_04.jpg?v=1692202060&width=400,https://farmrio.com/cdn/shop/files/312042_04.jpg?v=1692202060&width=400,FARM Rio,"Rs.38,000.00","Rs.38,000.00"
1314,1314,Yellow Sleeveless Maxi Dress With Sun Buckle,7118776991837,'',https://farmrio.com/cdn/shop/files/314753_02.jpg?v=1690842813&width=400,https://farmrio.com/cdn/shop/files/314753_02.jpg?v=1690842813&width=400,FARM Rio,"Rs.50,200.00","Rs.50,200.00"
1315,1315,Lilac Floral Monkey Short Sleeve Maxi Dress,7118777286749,'',https://farmrio.com/cdn/shop/files/316417_01.jpg?v=1690499817&width=400,https://farmrio.com/cdn/shop/files/316417_01.jpg?v=1690499817&width=400,FARM Rio,"Rs.40,900.00","Rs.40,900.00"
1317,1317,Light Pink Star Fruit Midi Dress,7118772764765,'',https://farmrio.com/cdn/shop/files/316415_02.jpg?v=1690500047&width=400,https://farmrio.com/cdn/shop/files/316415_02.jpg?v=1690500047&width=400,FARM Rio,"Rs.38,000.00","Rs.38,000.00"
1318,1318,Light Pink Star Fruit Flower Mini Dress,7118770143325,'',https://farmrio.com/cdn/shop/files/315955_01.jpg?v=1690500294&width=400,https://farmrio.com/cdn/shop/files/315955_01.jpg?v=1690500294&width=400,FARM Rio,"Rs.34,500.00","Rs.34,500.00"
1319,1319,Lilac Short Sleeve Mini Dress,7118768570461,'',https://farmrio.com/cdn/shop/files/316419_01.jpg?v=1690500224&width=400,https://farmrio.com/cdn/shop/files/316419_01.jpg?v=1690500224&width=400,FARM Rio,"Rs.25,100.00","Rs.25,100.00"
1320,1320,Off White Guipure Lace Shirtdress,6696506556509,'Dresses',https://farmrio.com/cdn/shop/files/300717_04.jpg?v=1698890532&width=400,https://farmrio.com/cdn/shop/files/300717_04.jpg?v=1698890532&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
1321,1321,Dream Sky Dress,7163568848989,'swimwear',https://farmrio.com/cdn/shop/products/315445_01.jpg?v=1697683377&width=400,https://farmrio.com/cdn/shop/products/315445_01.jpg?v=1697683377&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
1322,1322,Blue Pineapple Garden Maxi Dress,6696508751965,'Dresses',https://farmrio.com/cdn/shop/files/300229_01.jpg?v=1699563692&width=400,https://farmrio.com/cdn/shop/files/300229_01.jpg?v=1699563692&width=400,FARM Rio,"Rs.66,000.00","Rs.66,000.00"
1327,1327,Yellow Fruit Dream Ruffle Mini Dress,6696528642141,'Dresses',https://farmrio.com/cdn/shop/files/300629_01.jpg?v=1699563788&width=400,https://farmrio.com/cdn/shop/files/300629_01.jpg?v=1699563788&width=400,FARM Rio,"Rs.51,700.00","Rs.51,700.00"
1332,1332,Adidas Farm Solar Kaleidoscope Pink Dress,7268790108253,'DRESSES',https://farmrio.com/cdn/shop/files/IQ4507_01.jpg?v=1709333007&width=400,https://farmrio.com/cdn/shop/files/IQ4507_01.jpg?v=1709333007&width=400,FARM Rio,"Rs.15,800.00","Rs.15,800.00"
1337,1337,Banana Pocket Kids Dress,7268908793949,'Baby & Toddler',https://farmrio.com/cdn/shop/products/320861_01_c647354e-754e-443f-b531-29afbdc4a1d8.jpg?v=1707518819&width=400,https://farmrio.com/cdn/shop/products/320861_01_c647354e-754e-443f-b531-29afbdc4a1d8.jpg?v=1707518819&width=400,FARM Rio,"Rs.51,700.00","Rs.51,700.00"
1341,1341,Off-White Stitched Flowers And Girls Midi Dress,7268847485021,'Baby & Toddler',https://farmrio.com/cdn/shop/products/320210_01_32b12520-a506-43db-b6f5-bb1a18ccdb6c.jpg?v=1707521820&width=400,https://farmrio.com/cdn/shop/products/320210_01_32b12520-a506-43db-b6f5-bb1a18ccdb6c.jpg?v=1707521820&width=400,FARM Rio,"Rs.96,100.00","Rs.96,100.00"
1347,1347,Fruit Landscape Kids Dress,7268820058205,'Baby & Toddler',https://farmrio.com/cdn/shop/products/320857_01_a87f7670-488e-4a5c-b0bf-f7f131016659.jpg?v=1707520659&width=400,https://farmrio.com/cdn/shop/products/320857_01_a87f7670-488e-4a5c-b0bf-f7f131016659.jpg?v=1707520659&width=400,FARM Rio,"Rs.44,500.00","Rs.44,500.00"
