,name,product_id,categories,image_url,url,brand,price,compare_at_price
341,Off-White Aura Floral Midi Dress,7268906434653,'DRESSES',https://farmrio.com/cdn/shop/products/317830_01_7e41b2cb-7031-4d33-a147-3c7d8e828913.jpg?v=1707520558&width=400,https://farmrio.com/cdn/shop/products/317830_01_7e41b2cb-7031-4d33-a147-3c7d8e828913.jpg?v=1707520558&width=400,FARM Rio,"Rs.67,400.00","Rs.67,400.00"
342,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
343,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
344,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
345,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
346,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
347,Pink Floral Details Sleeveless Midi Dress,7268800462941,'DRESSES',https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,https://farmrio.com/cdn/shop/files/327754_01.jpg?v=1711472216&width=400,FARM Rio,"Rs.78,900.00","Rs.78,900.00"
348,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
349,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
350,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
351,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
352,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
353,Off-White Flowerful Birds Maxi Dress,7268865802333,'Dresses',https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,https://farmrio.com/cdn/shop/files/318954_02.jpg?v=1711558530&width=400,FARM Rio,"Rs.76,000.00","Rs.76,000.00"
354,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
355,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
356,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
357,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
358,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
359,Multicolor Mixed Scarves Lenzing™ Ecovero™ Viscose Midi Dress,7268829790301,'DRESSES',https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,https://farmrio.com/cdn/shop/files/318261_01.jpg?v=1711472212&width=400,FARM Rio,"Rs.63,100.00","Rs.63,100.00"
360,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
361,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
362,Orange Fruit Garden Scarf Midi Dress,7268851482717,'DRESSES',https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,https://farmrio.com/cdn/shop/files/317838_02_01e3ffe0-7054-42a2-af88-b024de8d998f.jpg?v=1710470991&width=400,FARM Rio,"Rs.70,300.00","Rs.70,300.00"
